idarea,name,day
255,F43,20220725
347,M78,20220725
404,JJ4,20220725
470,M62,20220725
255,F43,20220726
347,M78,20220726
404,JJ4,20220726
470,M62,20220726
189,F43,20220727
347,M78,20220727
404,JJ4,20220727
473,M62,20220727
190,F43,20220728
348,M78,20220728
404,JJ4,20220728
473,M62,20220728
190,F43,20220729
347,M78,20220729
404,JJ4,20220729
508,M62,20220729
190,F43,20220730
347,M78,20220730
372,JJ4,20220730
508,M62,20220730
157,F43,20220731
347,M78,20220731
508,M62,20220731
340,JJ4,20220731
255,F43,20220801
347,M78,20220801
373,JJ4,20220801
508,M62,20220801
287,F43,20220802
314,M78,20220802
372,JJ4,20220802
508,M62,20220802
288,F43,20220803
372,JJ4,20220803
379,M78,20220803
508,M62,20220803
288,F43,20220804
372,JJ4,20220804
411,M78,20220804
508,M62,20220804
288,F43,20220805
339,JJ4,20220805
444,M78,20220805
508,M62,20220805
287,F43,20220806
339,JJ4,20220806
475,M78,20220806
508,M62,20220806
319,F43,20220807
339,JJ4,20220807
475,M78,20220807
508,M62,20220807
353,F43,20220808
475,M78,20220808
353,F43,20220809
475,M78,20220809
288,F43,20220810
474,M78,20220810
289,F43,20220811
475,M78,20220811
288,F43,20220812
475,M78,20220812
288,F43,20220813
475,M78,20220813
288,F43,20220814
288,F43,20220815
288,F43,20220816
288,F43,20220817
288,F43,20220818
288,F43,20220819
288,F43,20220820
287,F43,20220821
287,F43,20220822
319,F43,20220823
285,F43,20220824
286,F43,20220825
255,F43,20220826
255,F43,20220827
322,F43,20220828
